Solver,Puzzle Set,Puzzle Number,Time (s),Clauses
ConstraintPathSolver,5x5,1,265795417,0
ConstraintPathSolver,5x5,2,152769750,0
ConstraintPathSolver,5x5,3,183659125,0
ConstraintPathSolver,5x5,4,260568209,0
ConstraintPathSolver,5x5,5,319235209,0
ConstraintPathSolver,5x5,6,349104834,0
ConstraintPathSolver,5x5,7,147419167,0
ConstraintPathSolver,5x5,8,153824708,0
ConstraintPathSolver,5x5,9,265796500,0
ConstraintPathSolver,5x5,10,145415834,0
ConstraintPathSolver,5x5,11,159480625,0
ConstraintPathSolver,5x5,12,206768666,0
ConstraintPathSolver,5x5,13,262160958,0
ConstraintPathSolver,5x5,14,270174583,0
ConstraintPathSolver,5x5,15,482257167,0
ConstraintPathSolver,5x5,16,194984792,0
ConstraintPathSolver,5x5,17,161064583,0
ConstraintPathSolver,5x5,18,195227417,0
ConstraintPathSolver,5x5,19,159627459,0
ConstraintPathSolver,5x5,20,147622709,0
ConstraintPathSolver,5x5,21,153779917,0
ConstraintPathSolver,5x5,22,212124250,0
ConstraintPathSolver,5x5,23,215999917,0
ConstraintPathSolver,5x5,24,161631291,0
ConstraintPathSolver,5x5,25,171444917,0
ConstraintPathSolver,5x5,26,156771958,0
ConstraintPathSolver,5x5,27,153701875,0
ConstraintPathSolver,5x5,28,242070833,0
ConstraintPathSolver,5x5,29,156651416,0
ConstraintPathSolver,5x5,30,233360459,0
ConstraintPathSolver,5x5,31,200980833,0
ConstraintPathSolver,5x5,32,259492041,0
ConstraintPathSolver,5x5,33,212350416,0
ConstraintPathSolver,5x5,34,236427042,0
ConstraintPathSolver,5x5,35,189595416,0
ConstraintPathSolver,5x5,36,130079833,0
ConstraintPathSolver,5x5,37,170893167,0
ConstraintPathSolver,5x5,38,197521166,0
ConstraintPathSolver,5x5,39,196075125,0
ConstraintPathSolver,5x5,40,158760333,0
ConstraintPathSolver,5x5,41,156323875,0
ConstraintPathSolver,5x5,42,154895541,0
ConstraintPathSolver,5x5,43,263637333,0
ConstraintPathSolver,5x5,44,159860667,0
ConstraintPathSolver,5x5,45,162147292,0
ConstraintPathSolver,5x5,46,139613833,0
ConstraintPathSolver,5x5,47,154918750,0
ConstraintPathSolver,5x5,48,133602500,0
ConstraintPathSolver,5x5,49,179303542,0
ConstraintPathSolver,5x5,50,198728834,0
ConstraintPathSolver,5x5,51,203131209,0
ConstraintPathSolver,5x5,52,305907000,0
ConstraintPathSolver,5x5,53,297733333,0
ConstraintPathSolver,5x5,54,296164084,0
ConstraintPathSolver,5x5,55,404782542,0
ConstraintPathSolver,5x5,56,132764959,0
ConstraintPathSolver,5x5,57,154174542,0
ConstraintPathSolver,5x5,58,147766542,0
ConstraintPathSolver,5x5,59,171399333,0
ConstraintPathSolver,5x5,60,165012291,0
ConstraintPathSolver,5x5,61,215071917,0
ConstraintPathSolver,5x5,62,146157459,0
ConstraintPathSolver,5x5,63,182205250,0
ConstraintPathSolver,5x5,64,145849958,0
ConstraintPathSolver,5x5,65,178166167,0
ConstraintPathSolver,5x5,66,210492417,0
ConstraintPathSolver,5x5,67,170093083,0
ConstraintPathSolver,5x5,68,163872000,0
ConstraintPathSolver,5x5,69,208031917,0
ConstraintPathSolver,5x5,70,173325292,0
ConstraintPathSolver,5x5,71,174074125,0
ConstraintPathSolver,5x5,72,130331250,0
ConstraintPathSolver,5x5,73,147476042,0
ConstraintPathSolver,5x5,74,133375583,0
ConstraintPathSolver,5x5,75,131268333,0
ConstraintPathSolver,5x5,76,194252583,0
ConstraintPathSolver,5x5,77,139971167,0
ConstraintPathSolver,5x5,78,240517000,0
ConstraintPathSolver,5x5,79,154027459,0
ConstraintPathSolver,5x5,80,154957125,0
ConstraintPathSolver,5x5,81,171938416,0
ConstraintPathSolver,5x5,82,178667709,0
ConstraintPathSolver,5x5,83,133831459,0
ConstraintPathSolver,5x5,84,154784209,0
ConstraintPathSolver,5x5,85,132481792,0
ConstraintPathSolver,5x5,86,154478834,0
ConstraintPathSolver,5x5,87,155018958,0
ConstraintPathSolver,5x5,88,151603041,0
ConstraintPathSolver,5x5,89,230839000,0
ConstraintPathSolver,5x5,90,169575166,0
ConstraintPathSolver,5x5,91,170921875,0
ConstraintPathSolver,5x5,92,167280333,0
ConstraintPathSolver,5x5,93,150366792,0
ConstraintPathSolver,5x5,94,174530959,0
ConstraintPathSolver,5x5,95,137432583,0
ConstraintPathSolver,5x5,96,148621417,0
ConstraintPathSolver,5x5,97,147137541,0
ConstraintPathSolver,5x5,98,231113583,0
ConstraintPathSolver,5x5,99,131891917,0
ConstraintPathSolver,5x5,100,129729792,0
ConstraintPathSolver,5x5,101,157394625,0
ConstraintPathSolver,5x5,102,141217625,0
ConstraintPathSolver,5x5,103,170889334,0
ConstraintPathSolver,5x5,104,151390125,0
ConstraintPathSolver,5x5,105,155969125,0
ConstraintPathSolver,5x5,106,164259667,0
ConstraintPathSolver,5x5,107,137789083,0
ConstraintPathSolver,5x5,108,137176958,0
ConstraintPathSolver,5x5,109,167696250,0
ConstraintPathSolver,5x5,110,132324750,0
ConstraintPathSolver,5x5,111,138236542,0
ConstraintPathSolver,5x5,112,172323458,0
ConstraintPathSolver,5x5,113,144347458,0
ConstraintPathSolver,5x5,114,133106125,0
ConstraintPathSolver,5x5,115,136712500,0
ConstraintPathSolver,5x5,116,153479625,0
ConstraintPathSolver,5x5,117,156471875,0
ConstraintPathSolver,5x5,118,205504084,0
ConstraintPathSolver,5x5,119,169093083,0
ConstraintPathSolver,5x5,120,137456375,0
ConstraintPathSolver,5x5,121,137920083,0
ConstraintPathSolver,5x5,122,155343125,0
ConstraintPathSolver,5x5,123,161988750,0
ConstraintPathSolver,5x5,124,184745334,0
ConstraintPathSolver,5x5,125,129978250,0
ConstraintPathSolver,5x5,126,170976083,0
ConstraintPathSolver,5x5,127,173154708,0
ConstraintPathSolver,5x5,128,145789125,0
ConstraintPathSolver,5x5,129,145781875,0
ConstraintPathSolver,5x5,130,139086834,0
ConstraintPathSolver,5x5,131,133674875,0
ConstraintPathSolver,5x5,132,145992375,0
ConstraintPathSolver,5x5,133,207987125,0
ConstraintPathSolver,5x5,134,249172667,0
ConstraintPathSolver,5x5,135,137482541,0
ConstraintPathSolver,5x5,136,145845459,0
ConstraintPathSolver,5x5,137,156337417,0
ConstraintPathSolver,5x5,138,137493166,0
ConstraintPathSolver,5x5,139,156272084,0
ConstraintPathSolver,5x5,140,173100500,0
ConstraintPathSolver,5x5,141,132126750,0
ConstraintPathSolver,5x5,142,129251584,0
ConstraintPathSolver,5x5,143,154903959,0
ConstraintPathSolver,5x5,144,153728875,0
ConstraintPathSolver,5x5,145,155283500,0
ConstraintPathSolver,5x5,146,131395917,0
ConstraintPathSolver,5x5,147,187058708,0
ConstraintPathSolver,5x5,148,155417375,0
ConstraintPathSolver,5x5,149,167957583,0
ConstraintPathSolver,5x5,150,169716167,0
ConstraintPathSolver,5x5,151,137555792,0
ConstraintPathSolver,5x5,152,153778959,0
ConstraintPathSolver,5x5,153,124595209,0
ConstraintPathSolver,5x5,154,136744375,0
